Subcluster_id,Q-score,No_of_motifs
670,0.9939448596222158,4
1949,0.9868659281625609,3
1591,0.8026211425400634,4
1544,0.7400863617781466,5
1585,0.707574803259446,3
982,0.6948437066450354,7
1787,0.6672439288481439,3
1760,0.6608597883203677,3
1349,0.6430641813069857,3
528,0.6428526353398635,6
621,0.6420213114816128,3
617,0.6394352154822462,5
1382,0.6328485419770773,3
1560,0.6324649192471109,6
2260,0.6294381252595468,3
2218,0.6230718903138966,3
1179,0.6220266475473425,3
956,0.6188403626064654,4
1474,0.6145703867783187,4
1705,0.613433042810065,2
2196,0.6128466561175349,2
2353,0.6128409938753687,7
2211,0.6115662422818564,4
602,0.6095298571181486,13
908,0.608673611513996,5
2072,0.6051670642543673,3
1075,0.6051658332266764,3
1497,0.6045886722021311,3
2203,0.6042360424524964,2
484,0.6037275753944789,3
1087,0.6034381205223126,2
907,0.602855408959882,3
1927,0.6022651491618585,7
817,0.5968723132224475,6
1070,0.5952475693926839,2
557,0.5950743210034152,7
696,0.5934399434718742,2
2210,0.5926608621304101,2
633,0.5922795422856258,3
1127,0.5921948425263704,6
1322,0.5914336408692278,3
1662,0.5901064057366143,3
2135,0.5856689790797517,5
1316,0.5834428907331711,2
1933,0.5830728550418905,7
2080,0.5828603823379951,3
1310,0.5828602441765313,3
1633,0.5828599519789993,3
461,0.5828481867886097,7
2234,0.5822840799105568,3
1149,0.5822837177228988,3
918,0.5783653689089392,4
367,0.5754218031234957,4
1081,0.5728706760227447,3
1218,0.572863422772654,3
1129,0.5711823412841629,3
746,0.5704174133749074,10
1308,0.5702717874400335,4
1649,0.5688973946895302,4
233,0.5686789572206156,5
1089,0.5680017116440864,3
840,0.5673701412997176,3
146,0.5660323450332461,6
1394,0.5657565020894999,5
1982,0.5657538970111577,3
331,0.5646479669266492,4
2325,0.5642126883048977,2
2039,0.5634481576941114,2
2038,0.5634446577683019,3
1785,0.5628655976688963,3
879,0.5628537923010569,6
1609,0.562564568898211,3
1714,0.5622899735586452,3
280,0.5622885320631676,3
1071,0.5622883661461127,3
1530,0.5621471225846402,3
2165,0.561843886684235,4
1864,0.561711150791349,3
869,0.5616998962079723,4
1023,0.5602103759197482,4
1025,0.5596614306586223,3
1604,0.5575165875896401,3
332,0.5574759454754731,8
827,0.5563225374969605,6
745,0.5559197741294641,4
882,0.5522915278733551,3
2129,0.5522914040656748,3
876,0.5483314763425134,3
1392,0.5472888334466778,3
2285,0.5471182991524158,2
1484,0.5466929521718787,4
1946,0.546209418786316,3
1737,0.5460340075490993,2
354,0.5455055944493402,4
1913,0.545238985809941,5
1142,0.5435932801431812,4
1443,0.5431797232934326,4
2004,0.5431118818053772,5
2194,0.5423905085461201,4
2317,0.5421746609630977,3
330,0.5421140807378367,3
1763,0.5405622862406345,3
1595,0.5405620435619207,3
37,0.5400840166040953,10
985,0.5395771952009172,6
990,0.5389416406511405,7
402,0.538429738335514,8
1426,0.5382435006974988,3
880,0.5380969534500172,10
1365,0.5373223200381998,2
766,0.5369601869200954,4
2296,0.5367017522144503,3
2336,0.5366378353482351,2
1418,0.5364693981060358,3
1664,0.5364265966416814,4
1373,0.5363835425652612,4
1196,0.5360117839390242,4
1034,0.5354722324484819,4
1145,0.5326591578612843,2
1256,0.5321124937535969,3
539,0.5314007287948286,6
931,0.5310828312018403,4
4,0.5302628349849571,5
1435,0.5302502156875506,7
223,0.5300595096180971,11
1144,0.5293428592474442,5
921,0.5290242693357146,3
580,0.5283715985982373,7
1494,0.5283587539330578,3
1499,0.5280310254437418,4
861,0.5275568184693891,7
1660,0.5275468763387018,8
2375,0.5272950984880289,2
25,0.5265475941584132,12
822,0.5258003236925655,3
542,0.525607788045889,3
23,0.5249684064748295,3
871,0.5233770611336178,7
1728,0.5228371347381715,2
1559,0.5226923078198705,4
1801,0.5222420153244016,3
420,0.5221015793978604,3
298,0.5214540399783444,5
1136,0.5206842212968298,3
206,0.5205967312199954,3
430,0.5194246303135213,7
410,0.5192231688867719,7
782,0.5188691822582354,4
138,0.5169161864359237,10
1522,0.5162483366834962,4
622,0.51590887861975,5
1912,0.5157586266983787,6
312,0.5151778877064527,8
316,0.5137654539343773,8
2153,0.513683807904989,4
714,0.5130738304671777,4
724,0.512561725286971,3
8,0.5119172687212483,9
1242,0.5113867274002388,4
1896,0.5106624614816043,2
2371,0.5092300815821061,2
695,0.5090277384495518,5
186,0.5086896990175876,12
972,0.5068536092819681,5
1341,0.5067465764963605,5
1423,0.5065627221522425,5
855,0.5056306677659912,2
1086,0.5054211906690307,4
1807,0.5053659636669949,2
145,0.5047699541159034,7
254,0.5046860260435133,5
1235,0.5043910636218093,3
589,0.5041994978347881,4
124,0.502980603530728,11
625,0.5026833173788781,9
1078,0.5013643279457055,4
1625,0.5013253425318175,3
82,0.5012899851404063,12
496,0.5008897054733715,13
1663,0.5003962795855459,3
587,0.500169047707802,7
317,0.49997267405838003,4
303,0.4997901888025825,4
592,0.49974172673585465,4
1059,0.499551552969066,2
1722,0.4993960836056958,4
163,0.49935706572713856,3
328,0.4986208241174935,5
905,0.4983834981261067,5
1909,0.49836751207245955,3
946,0.49694677964777373,3
1551,0.4968563750821705,4
1183,0.49627929848242447,7
2067,0.49609717734225517,2
1084,0.4954943390417146,2
114,0.4949546532740804,6
997,0.4939557584872354,5
1504,0.49392634617159437,6
498,0.4938775172772645,3
936,0.4938704441428835,7
1407,0.49385518194310246,8
591,0.49374289139547267,13
1108,0.4933899805673706,2
612,0.492412395498002,6
488,0.49240106294197805,4
588,0.4916369629715779,5
901,0.49147266384697147,4
526,0.4910059931544609,3
399,0.49083077585036394,5
2270,0.49072662592939886,2
1824,0.49001381637916247,3
1303,0.4897479959126027,6
1581,0.4895495704050882,12
373,0.4877139242794817,5
160,0.48739885171147374,7
291,0.4861286469769307,5
884,0.4857247295769844,4
417,0.4853435108891688,8
1350,0.4852982302121467,3
275,0.4852347912546771,6
940,0.4849337204624673,8
1541,0.48459514754932315,7
1600,0.48436527733925194,4
1891,0.4843349523200614,3
1195,0.4843108856186603,6
541,0.4837581586847907,4
144,0.48279928223327173,6
38,0.48268981234235175,9
415,0.48237401107175665,4
779,0.48217452203596506,4
783,0.48067036628458426,4
1437,0.4799773420662825,4
1777,0.47916670616930357,6
970,0.47906271221292557,9
860,0.4789921904124663,4
205,0.4787754448853143,5
1219,0.47848631098606176,4
1469,0.4783135601031745,3
1351,0.4779105850455926,2
598,0.47761381447254675,7
984,0.4768147248009622,5
1259,0.47665834161089,8
2020,0.47641041774065107,3
129,0.47613441170233195,8
1788,0.4760491624082009,4
13,0.47515805592207677,7
608,0.4749762807828445,6
325,0.47473133949716245,9
1525,0.47439871911799886,3
1379,0.47423886960205824,4
922,0.47350401076926985,2
1503,0.47334015812863434,5
565,0.4729632529178093,5
1375,0.4728722131320034,4
71,0.4721108991214993,16
862,0.4718789886336208,4
72,0.4715678887109825,6
630,0.47124888894380224,5
466,0.47113262444227616,7
523,0.47091688957740047,8
991,0.47081902619804206,8
644,0.47034328158632516,6
434,0.47030909959863043,4
688,0.4702979264142319,4
184,0.4700933331500612,3
992,0.46978991558084243,6
195,0.46849848053691145,3
902,0.4683760629239307,3
476,0.4675869100523112,13
286,0.4665881463560251,4
389,0.4656163411520423,7
690,0.46560936159727234,9
601,0.46560506373708344,5
1013,0.4655882883375927,3
813,0.4655220728851179,7
1333,0.4653112781083563,8
80,0.464598816179357,7
1063,0.4641255748347389,5
157,0.4638212080627069,3
567,0.4633995772115757,8
1185,0.4620751203603527,4
775,0.4616788333785563,6
1158,0.46102412484904665,2
1162,0.4606650679100648,3
371,0.46052791982438,5
1007,0.460485156132743,5
624,0.4600398251510845,7
2243,0.45985449357042363,2
1447,0.45954576435539196,6
222,0.45881740268130633,8
310,0.45876836841268814,5
572,0.4587199238606908,4
237,0.4577337797437554,3
208,0.4570324824567623,4
1974,0.45665007620200776,4
1364,0.4565642754015453,4
2206,0.45627488255975335,5
1720,0.45621836093787627,4
403,0.45606953164488845,8
748,0.4552100875301643,4
1857,0.45506701870987676,3
1513,0.4546475988215292,5
270,0.45371212630763724,11
285,0.45338461405358826,2
563,0.4530008158753938,5
785,0.4529169447518322,8
723,0.4527557624303958,4
1074,0.45260769528839767,4
1173,0.4524609566762278,6
92,0.4522426127853072,9
235,0.4522329192975347,4
1538,0.45202843181252145,9
1163,0.4518830673473899,3
1213,0.4514315742336929,4
1134,0.4512103756985125,5
1819,0.45109019511461734,2
1157,0.4507969690081564,2
