Motif_id	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Family_label	Cluster_id
7OLC_2:1366-1368_1411-1412	0.180527	0.051023	0.261832	-0.006695	0.032436	0.234228	0.079366	-0.206161	-0.058773	-0.174673	0.093662	0.137585	0.157459	-0.019689	-0.192086	-0.036205	0.017552	0.064383	0.430668	0.097859	-0.077895	-0.103336	0.04488	0.108548	0.226903	0.206522	-0.061134	-0.070148	-0.017957	-0.149958	0.26826	0.025655	0.086376	-0.091586	-0.121317	0.138002	-0.280418	0.017389	-0.028781	0.121645	0.039838	-0.009601	0.083503	-0.000578	0.2111	-0.119806	-0.076799	0.09262	0.136975	0.104408	0.031076	-0.075429	0.049774	-0.194913	0.124833	0.088542	0.186441	0.116064	0.141154	0.128934	-0.011717	0.027419	0.094338	-0.075439	IL	1275
6N7P_R:358-360_469-470	0.019635	-0.101651	0.138467	-0.072177	-0.238592	0.21575	0.131614	0.226048	-0.115115	0.328336	0.231044	0.041842	-0.38714	0.052802	-0.585369	-0.083552	-0.06648	-0.259981	0.137903	0.311923	0.251548	-0.089546	-0.21959	0.019092	-0.158333	0.127936	0.021771	0.160866	-0.023584	0.19239	0.270167	-0.199413	-0.120327	-0.412631	-0.113753	0.207667	0.179907	0.110869	-0.137405	-0.079041	0.029621	-0.135644	0.061939	-0.328493	0.21789	0.101122	0.031429	-0.156421	0.168897	0.013478	-0.192443	0.033418	-0.266694	-0.083532	0.208531	0.423936	-0.215436	-0.182874	-0.101901	-0.245385	-0.032924	-0.143443	0.018289	0.05133	IL	1566
8Y39_A:853-855_865-869	0.013424	-0.002491	-0.088477	0.014226	-0.113447	-0.103149	-0.028355	0.145773	0.039607	0.072921	0.119529	-0.183507	-0.163342	-0.119661	0.067393	-0.121655	-0.061414	-0.299241	-0.242817	-0.010005	0.146121	0.088669	-0.066066	0.048918	0.077655	0.021827	-0.097821	-0.001288	-0.06221	-0.038488	0.126164	-0.07179	0.190087	-0.009643	-0.121745	-0.080514	-0.038968	-0.015707	0.101991	0.015847	-0.110467	0.055715	-0.048011	0.13656	-0.025545	0.106917	-0.174551	0.114655	-0.088726	-0.009829	0.051227	-0.043524	0.127835	-0.005195	0.12129	-0.054981	-0.098939	-0.17315	-0.074374	-0.143154	0.12354	-0.083365	0.021771	-0.259991	IL	150
5VYC_i1:1451-1453_1628-1629	-0.115364	0.092538	0.212613	-0.140785	-0.026916	0.146945	0.07095	0.018586	-0.191937	-0.145935	0.18928	-0.007639	0.315188	-0.107147	0.094142	0.006789	-0.100163	-0.148787	0.177364	-0.020423	0.008043	-0.108558	0.00308	0.052444	0.175497	-0.008647	-0.057158	-0.159998	-0.008715	0.140689	0.13322	-0.15827	-0.090712	0.090105	0.147148	-0.035492	-0.027707	-0.068594	-0.088426	0.081607	0.116724	-0.051472	0.006245	0.071431	-0.023627	0.127715	0.037553	-0.006289	0.230413	0.121978	-0.066644	0.032489	-0.071599	0.055164	0.295154	0.264595	-0.120738	-0.103302	0.275927	0.096648	0.071651	-0.046737	0.013891	-0.001325	IL	2303
6ZVH_2:1203-1205_1362-1368	0.171434	0.018313	-0.025845	0.129603	-0.111583	0.126582	0.087951	0.089218	0.076114	0.151291	0.160133	-0.039985	-0.111982	-0.065183	-0.003502	-0.0894	-0.120945	-0.1858	-0.014345	0.203337	0.14153	-0.031632	-0.038619	0.03918	0.034698	0.062282	-0.098251	-0.049218	0.057315	-0.079546	0.077461	0.034574	-0.030888	-0.198017	-0.108185	0.013326	-0.054429	0.021937	0.018009	-0.090414	-0.037957	-0.173328	0.035974	0.072896	0.133853	0.07579	-0.069942	-0.06954	0.089036	0.039542	-0.143696	-0.086522	-0.082769	-0.03918	0.109246	0.125241	0.011648	-0.152459	-0.045953	-0.127395	0.017931	-0.178912	-0.117771	-0.248376	IL	306
7YYN_B:13-15_49-51	0.304703	0.012913	-0.165045	0.10851	-0.109045	0.06575	0.222408	0.216432	0.44803	-0.110744	0.128267	0.03365	-0.234712	-0.085424	0.167879	0.073831	0.208288	-0.20687	-0.138812	0.202252	0.228449	-0.001443	0.286903	-0.076353	0.140106	-0.270748	-0.181329	-0.147131	0.136241	-0.322148	0.165702	0.185252	0.07181	0.091793	-0.127314	-0.163798	0.091864	-0.108054	0.424057	0.067803	-0.165676	-0.343158	0.174531	0.144028	0.197734	0.114868	-0.235934	-0.157141	-0.101348	0.195122	0.167008	-0.04871	0.019358	0.193167	0.027822	-0.080048	0.02803	0.029125	0.068778	-0.007179	0.049984	-0.051773	-0.103294	-0.232178	IL	219
6ZCE_A:1769-1771_1792-1794	0.111014	-0.197854	0.223967	-0.211216	-0.206565	0.305115	-0.012248	0.180977	-0.16888	0.058092	0.127942	-0.084672	-0.306525	0.114797	-0.201353	-0.015534	-0.117246	-0.276334	0.277151	0.070119	0.366075	-0.036884	-0.2703	-0.018829	0.129086	0.22694	-0.191395	0.229929	-0.078976	0.03878	0.238119	-0.112598	-0.098201	-0.263463	-0.148456	0.186954	0.018543	0.135407	-0.255255	-0.032524	-0.042772	-0.087924	-0.16775	-0.225762	-0.221638	0.194127	-0.186044	-0.072251	0.176808	0.10581	-0.194312	-0.116114	-0.06767	-0.172773	0.344425	0.549632	0.027276	-0.157051	0.051457	-0.183057	-0.125666	-0.165219	0.052204	0.098311	IL	636
6V3B_AN1:1332-1336_1344-1346	0.034295	-0.161749	0.182022	0.073142	-0.211364	0.032765	0.011556	0.137136	-0.154364	-0.119713	0.550011	-0.020604	0.176958	-0.083467	0.181026	0.042375	-0.033976	-0.036172	0.181117	0.073069	0.082539	-0.050075	-0.038168	-0.020578	0.29109	-0.020322	-0.065475	-0.164545	-0.189435	0.050826	0.18997	-0.084089	-0.056725	0.090987	0.150592	-0.177842	0.045659	-0.023549	-0.003551	0.016159	-0.034866	0.346085	0.064359	0.040218	0.033782	0.271428	-0.03106	-0.017453	0.415006	-0.025437	0.022042	0.210462	-0.016649	-0.034338	0.502709	0.052377	-0.131897	0.137958	0.157321	0.05303	-0.042103	-0.105348	0.083608	-0.377413	IL	840
6LU8_2:2077-2079_2086-2087	0.109458	0.081426	0.260527	0.119048	-0.034431	0.088356	0.192426	0.061748	-0.139604	0.059607	0.386909	-0.048716	-0.069241	0.130254	-0.259309	0.199365	0.191778	0.18918	0.118099	0.269946	0.008484	0.064785	0.279401	-0.021114	-0.09083	0.008321	-0.082632	-0.012837	-0.06151	0.0885	0.414855	-0.198789	0.108156	0.089901	0.202729	-0.027134	-0.073564	0.015302	-0.003245	0.010302	0.128153	-0.04639	0.014988	0.103294	0.294332	0.253011	0.196774	0.076711	0.291264	0.15555	0.009183	0.092716	-0.018834	0.176623	0.350089	-0.011859	-0.106242	-0.06822	0.285039	0.165478	0.197324	-0.098401	0.151232	-0.24096	IL	572
6ZMO_L5:4173-4175_4648-4649	0.092458	0.032903	-0.209506	0.043346	-0.080657	0.080266	0.156847	0.095452	0.28763	0.013333	0.126779	-0.031293	-0.028348	0.060022	0.229878	0.111312	0.141675	-0.226634	-0.222537	0.15383	0.274019	0.017125	0.288562	0.052996	0.121597	-0.279431	-0.289425	-0.217632	0.116916	-0.199929	0.148544	0.071074	0.006298	-0.00074	-0.033859	-0.066072	-0.057501	-0.045372	0.161083	0.031955	-0.246584	-0.183345	0.004488	-0.001021	0.243999	0.13156	-0.107675	-0.132716	0.034716	0.176048	0.038677	0.019768	-0.083013	0.233304	0.080648	0.093548	0.055729	-0.134857	-0.074331	0.036611	-0.150603	-0.173362	-0.102458	-0.119643	IL	869
